Forecast timestamp;Position;Forecast base;2 metre temperature;Minimum temperature at 2 metres;Maximum temperature at 2 metres;Relative humidity;Total water precipitation;Wind speed;Downward short-wave radiation flux;Surface latent heat flux;Surface sensible heat flux;Surface net solar radiation;Surface net thermal radiation;Commune;code_commune
2021-04-12T16:00:00+02:00;43,45,5,475;2021-04-11T05:00:00+02:00;12,164209;12,171045;12,321436;48,163673;9,707031;8,808144;28108720;-7395888;-10510032;24209882;-6234208;Gardanne;13041
2021-04-12T16:00:00+02:00;43,475,5,45;2021-04-11T05:00:00+02:00;11,285303;11,28042;11,415186;51,663673;9,027344;7,261269;28207024;-8768048;-11045584;24180186;-4909664;Gardanne;13041
2021-04-12T16:00:00+02:00;43,475,5,475;2021-04-11T05:00:00+02:00;11,763818;11,764795;11,946436;50,663673;8,710938;7,948769;28290992;-9977392;-8736464;23147994;-5261408;Gardanne;13041
2021-04-12T16:00:00+02:00;43,45,5,45;2021-04-11T05:00:00+02:00;11,082178;11,077295;11,212061;53,569923;9,363281;8,675331;27564976;-10828336;-7660240;22686170;-5007456;Gardanne;13041
2021-04-12T15:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;11,183496;11,166895;11,23501;55,79705;10,40625;7,585412;26730208;-10586784;-7555248;22541830;-4770192;Gardanne;13041
2021-04-12T15:00:00+02:00;43,45,5,475;2021-04-11T05:00:00+02:00;12,303613;12,24502;12,32876;49,5158;9,707031;8,257286;25322208;-6974112;-9076912;21808646;-5681552;Gardanne;13041
2021-04-12T15:00:00+02:00;43,475,5,45;2021-04-11T05:00:00+02:00;11,425684;11,33877;11,438135;52,92205;9,027344;6,757287;25428704;-7904928;-9751728;21798406;-4500368;Gardanne;13041
2021-04-12T15:00:00+02:00;43,475,5,475;2021-04-11T05:00:00+02:00;11,946191;11,90127;11,98501;51,85955;8,710938;7,460412;25506528;-9048736;-7647408;20869638;-4810640;Gardanne;13041
2021-04-12T15:00:00+02:00;43,45,5,45;2021-04-11T05:00:00+02:00;11,171777;11,135645;11,188135;55,42205;9,363281;8,108849;24776416;-9745056;-6708400;20391430;-4575632;Gardanne;13041
2021-04-12T14:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;11,137109;10,757227;11,135889;57,594845;10,404297;6,838781;23644726;-9311808;-6507008;19938612;-4339396;Gardanne;13041
2021-04-12T14:00:00+02:00;43,475,5,45;2021-04-11T05:00:00+02:00;11,369531;11,038477;11,370264;54,657345;9,027344;6,268469;22357558;-7056960;-8239616;19167540;-4082116;Gardanne;13041
2021-04-12T14:00:00+02:00;43,45,5,475;2021-04-11T05:00:00+02:00;12,241602;11,585352;12,245264;51,251095;9,710938;7,440344;22242870;-6548032;-7520768;19154228;-5108164;Gardanne;13041
2021-04-12T14:00:00+02:00;43,475,5,475;2021-04-11T05:00:00+02:00;11,899805;11,632227;11,901514;53,626095;8,710938;6,893469;22428214;-8095296;-6398464;18351412;-4344772;Gardanne;13041
2021-04-12T14:00:00+02:00;43,45,5,45;2021-04-11T05:00:00+02:00;11,110742;10,663477;11,120264;57,594845;9,363281;7,401281;21695030;-8649280;-5573120;17854772;-4130500;Gardanne;13041
2021-04-12T13:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;10,674951;10,100732;10,675928;62,82827;10,40625;5,833756;20481872;-8145920;-5380112;17271080;-3907623;Gardanne;13041
